usuario,pelicula1,pelicula2,pelicula3
User1,1,2,3
User2,2,2,2
User3,5,4,4
User4,4,2,5
User5,2,3,4
User6,3,4,1
User7,3,2,5
User8,2,1,2
User9,4,1,4
User10,2,3,4
User11,2,4,4
User12,3,4,5
User13,5,3,4
User14,4,5,1
User15,5,2,4
User16,4,4,5
User17,3,5,5
User18,3,2,1
User19,4,4,4
User20,5,3,4
User21,1,1,1
User22,1,3,1
User23,4,2,2
User24,2,5,4
User25,2,1,3
User26,2,5,3
User27,1,1,1
User28,3,2,2
User29,4,5,3
User30,1,5,3
User31,5,4,1
User32,1,2,5
User33,3,2,4
User34,3,5,1
User35,3,1,2
User36,4,2,5
User37,2,5,4
User38,3,5,3
User39,3,4,2
User40,1,3,5
User41,4,5,4
User42,5,5,5
User43,5,4,3
User44,3,5,1
User45,2,5,1
User46,3,1,2
User47,2,3,1
User48,5,1,4
User49,3,4,3
User50,4,2,3
User51,5,4,2
User52,1,1,5
User53,5,2,1
User54,5,5,3
User55,3,4,3
User56,1,5,4
User57,5,4,1
User58,1,1,5
User59,4,3,2
User60,1,1,3
User61,4,5,4
User62,3,1,1
User63,3,4,5
User64,1,3,1
User65,3,4,2
User66,1,3,5
User67,2,4,2
User68,4,2,2
User69,3,4,2
User70,2,1,1
User71,4,4,2
User72,3,5,2
User73,3,1,1
User74,2,3,4
User75,3,1,2
User76,1,3,2
User77,1,1,4
User78,1,4,2
User79,3,4,5
User80,2,5,2
User81,3,5,3
User82,5,3,1
User83,2,4,4
User84,1,3,1
User85,2,3,5
User86,1,2,5
User87,4,2,3
User88,2,5,3
User89,3,1,4
User90,1,5,1
User91,3,3,2
User92,1,4,1
User93,1,1,3
User94,3,4,4
User95,5,1,5
User96,5,2,3
User97,3,1,3
User98,1,2,4
User99,2,4,1
User100,1,3,5
User101,3,1,1
User102,1,5,3
User103,3,1,3
User104,1,3,3
User105,5,3,5
User106,2,4,2
User107,1,1,1
User108,5,3,3
User109,2,4,3
User110,3,1,1
User111,4,5,3
User112,5,4,5
User113,1,2,5
User114,3,1,4
User115,2,4,4
User116,3,1,3
User117,4,2,4
